name,stream_url,homepage,country,language,tags,codec,bitrate
    Squirrel FM,http://s25.myradiostream.com:10092/stream,https://squirrelfm.ca/,Canada,,,MP3,192
 # 70s 80s 90s RdMix Network,https://cast1.torontocast.com:1830/stream,https://radiodimensionemix.torontocast.stream/,Canada,english,"00's,00s,192kbps,1970s,1980s,1990s,70's,70s,80's,80s,90's,90s,charts,classic hits,classic rock,dance,entretenimiento,fm,high quality audio,hits,local news,local radio,misc,music,musica,news,oldies,ontario,pop,pop music,pop rock,public radio,radio,rock,talk,top 100,top hits,top40,toronto,webradio",MP3,192
 # RdMix Classic Rock 70s 80s 90s,https://cast1.torontocast.com:4610/stream,https://radiodimensionemix.torontocast.stream/,Canada,english,"60s,60s and 70s.,70's,70er,70s,80's,80er,80s,90's,90er,90s,blues,blues rock,classic blues,classic hits,classic hits 60s 70a 80s,classic rock,classic rock  50's 60's 70's 80's 90's,classic rock music,classic rock oldies,classic rock oldies soul,classic rock; alternative rock indie,country,entretenimiento,fm,hard rock,high quality audio,hits,local radio,melodic hard rock,music,music 70s 80s 90s,musica,oldies,pop rock,public radio,radio,real classic rock,rhythm and blues,rock,soft rock",MP3,128
 # RdMix DJSET 70s 80s 90s,https://cast1.torontocast.com:4560/stream,https://radiodimensionemix.torontocast.stream/,Canada,english,"1970s,1980s,1990s,70's,70er,70s,70s disco,80's,80er,80s,90's,90er,90s,anni 70,anni 80,anni 90,classic hip hop,classic hits,classic hits 60s 70a 80s,club house,dance,dance music,dance pop,dancefloor,disco,disco funk,discomusic 70,discomusic 80,dj,dj mix,dj mixes,dj remix,dj sets,electronic,euro disco,eurodance,fm,funky,funky 70,goldies,high quality audio,hip-hop and rap oldies,hits,house,italo disco,music,music 70s 80s 90s,musica,musica anni 70,musica anni 80,oldies,oldschool,pop,pop music,public radio,radio,rap,studio 54,techno,vintage music,vintage radio",MP3,128
 # RdMix Italo Disco 80s,https://cast1.torontocast.com:2130/stream,https://radiodimensionemix.torontocast.stream/,Canada,english,"1980,1980s,1980s hits,80's,80er,80s,anni 80,classic hits,club dance,club hits,dance,dance music,dance pop,disco,dj,dj mix,dj mixes,dj remix,electronic,fm,hits,italo dance,italo disco,italo-disco,italy,local radio,mixed,music,musica,musica anni 80,oldies,pop,pop dance,pop music,public radio,radio,radio anni 80,the best of 80's",MP3,192
 #1 RdMix Love Songs,https://maggie.torontocast.com:2020/stream/rdmixlovesongs,https://radiodimensionemix.torontocast.stream/,Canada,english,"00's,00s,70's,70s,80's,80s,90's,90s,classic hits,decades,fm,love,love song,love songs,lovesongs,music,musica,musica romantica,oldies,pop,pop music,public radio,radio,radio publica,regional,relax,relaxation,relaxing,rnb,romantic,romantic music,romantica,soft adult contemporary,soft music,soft pop,soft rock",MP3,128
 #100 BEST IBIZA DEEP HOUSE,https://stream.zeno.fm/lwv6zqgtv1dtv,https://zeno.fm/radio/100-best-ibiza-deep-house-/,Canada,english,"chill,chill house,chillout,chillout+lounge,club dance,club house,community radio,dance,deep,deep house,electronic,fm,high quality audio,hits,house,music,news,public radio,radio,soulful house",MP3,0
 101.9 ROCK,https://rogers-hls.leanstream.co/rogers/nor1019.stream/icy?environment=tunein&args=tunein_01,https://www.1019rock.ca/,Canada,english,rock,AAC,198
 Radio Bellissima Christmas,https://puma.streemlion.com:1340/stream,https://radiobellissima.it/,Canada,english,"christmas,christmas music,christmas rock,christmas songs,klassik weihnachten christmas,last christmas,merry christmas,noel-music,xmas",MP3,128
..tafsir coran,https://qurango.net/radio/mukhtasartafsir,,Canada,,classical,MP3,128
.Quran ,https://backup.qurango.net/radio/ahmad_khader_altarabulsi,,Canada,,classical,MP3,128
((( WEFUNK Radio ))) . raw uncut funk . classic & underground hip-hop . playlist & archive on wefunkradio.com,https://www.wefunkradio.com/play/radio.mp3,https://www.wefunkradio.com/,Canada,,,MP3,64
[XRM] - Electronic,http://stream.xrm.fm:8000/xrm-ele.aac,http://xrm.fm/,Canada,,,AAC+,96
# 100 GREATEST CLASSICAL MUSIC,https://az1.mediacp.eu/listen/100greatestclassicalmusic/radio.mp3,https://100-greatest-network.torontocast.stream/,Canada,english,"baroque,chamber,chamber music,classical,classical baroque,classical music,classical piano,community radio,entertainment,fm,local news,music,musica,opera,public radio,radio,symphonic,traditional opera",MP3,128
# 100 GREATEST HEAVY METAL,https://cast1.torontocast.com:4660/stream,https://100-greatest-network.torontocast.stream/,Canada,english,"60's,60s,70's,70er,70s,80's,80er,80s,90's,90er,90s,black metal,classic hits,classic metal,classic rock,entretenimiento,fm,hard rock,heavy metal,local radio,metal,music,musica,oldies,public radio,radio,rock",MP3,192
# 100 GREATEST JAZZ LOUNGE BAR,https://cast1.torontocast.com:4640/stream,https://100-greatest-network.torontocast.stream/,Canada,english,"192kbps,chillout,chillout+lounge,classic hits,club,cool jazz,cool music seduction,fm,high quality audio,jazz,jazz fusion,jazz lounge,local radio,lounge,lounge music,lounge radio,music,musica,oldies,public radio,radio,relax,relax music,relaxation,relaxing,smooth,smooth jazz,smooth lounge,vocal jazz,vocal lounge",MP3,192
##Radio Qur. Sa.,https://n0a.radiojar.com/0tpy1h0kxtzuv?rj-ttl=5&rj-tok=AAABhdgGORQA-2acfyF3_4WY2g,,Canada,,classical,MP3,0
00-Radio Canada Montreal,https://rcavliveaudio.akamaized.net/hls/live/2006635/P-2QMTL0_MTL/adaptive_192/master.m3u8,https://ici.radio-canada.ca/,Canada,french,"information,talk & speech",AAC,48
1 Pure Alternative Radio,https://kathy.torontocast.com:2475/stream,https://www.1pureradio.com/,Canada,,,MP3,128
100 % COVERS LOUNGE,https://az1.mediacp.eu/listen/100coverslounge/radio.mp3,https://radiosuitenetwork.torontocast.stream/100-covers-lounge/,Canada,english,"ambient,ambient and relaxation music,bossa nova,canada,chillout+lounge,covers,deep ambient,deep house,dub,house,jazz,lounge,lounge music,lounge radio,reggae,relax,smooth jazz,toronto",MP3,128
100 GREATEST OF THE 80'S,https://maggie.torontocast.com:2020/stream/100greatestofthe80s,https://100-greatest-network.torontocast.stream/,Canada,,"1980's,80s,80s radio,80s rock,the best decade 80s radio around.,the best of 80's",MP3,192
100.1 BayFM,https://stream.statsradio.com:8148/stream,https://www.bayfm.ca/,Canada,,,MP3,192
"100.9 The Wave - CKTO-FM, Truro",https://mbsradio-ais.leanstream.co/CKTOFM-MP3,https://thewavetruro.com/,Canada,english,"80s,90s",MP3,64
100% ACID JAZZ,https://mpc1.mediacp.eu:8356/stream,https://radiosuitenetwork.torontocast.stream/100-acid-jazz/,Canada,english,"acid,acid jazz,ambient,canada,classic jazz,free jazz,hip hop,instrumental music,instrumentales,jazz,jazz fusion,latin jazz,nu-jazz,piano jazz,relax,relaxing,smooth jazz,toronto,trumpeth",MP3,128
101.5 - The Hawk - CIGO-FM,https://ais-sa1.streamon.fm/7932_96k.aac,,Canada,english,adult contemporary,AAC,96
101.7 CHLY: The Sound of the Salish Sea,http://184.69.114.194:8000/stream.mp3,https://www.chly.ca/,Canada,,"news,pop,lifestyle,college",MP3,192
102.3 Juice FM Grand Forks BC,https://vistaradio.streamb.live/SB00084,https://mygrandforksnow.com/,Canada,,,MP3,96
102.3 NOW Radio,https://redirect.jpbgdigital.com/CKNO?player_type=tunein,https://www.1023nowradio.com/,Canada,,,AAC+,48
102.7 The Peak,https://stream.jpbgdigital.com/CKPK/HEAAC/48k/playlist.m3u8,https://www.thepeak.fm/,Canada,english,alternative,AAC+,48
102.9 CFAR Your Radio - Flin Flon,https://us7.maindigitalstream.com/2715/?pl=vlc&c=CFAR,https://flinflononline.com/cfar.php,Canada,,,MP3,96
102.9 CHTM Your Radio - Thompson,https://us7.maindigitalstream.com/2777/?pl=vlc&c=CHTM%20-%20Your%20Radio%20102.9,https://thompsononline.ca/chtm.php,Canada,,,MP3,96
103.9 CISN Country,https://corus.leanstream.co/CISNFM?args=web_01&startTime=1692203406,https://cisnfm.com/,Canada,,,AAC+,57
103.9 MAX FM - Moncton's Greatest Hits,http://mbsradio-ais.leanstream.co/CFQMFM-MP3?args=mobile_01&aw_0_req.gdpr=false&gdpr=false,https://1039maxfm.com/,Canada,english,,MP3,64
106.1 CHEZ,https://rogers-hls.leanstream.co/rogers/ott1061.stream/playlist.m3u8,https://www.1061chez.ca/,Canada,english,"mainstream rock,rock",AAC+,48
4lobos bollywood radio,http://puma.streemlion.com:4130/stream,http://puma.streemlion.com:4130/stream,Canada,hindi,music,MP3,128
570 News Kitchener,https://rogers-hls.leanstream.co/rogers/kit570.stream/playlist.m3u8,https://kitchener.citynews.ca/,Canada,english,local news,AAC+,47
620 CKCM,https://nyc-edge1-entry1.leanstream-hd.com:2113/CKCMAM,https://vocm.com/,Canada,english,"grand falls,vocm network",AAC,0
620 CKRM The Source,https://ais-sa1.streamon.fm/7267_64k.aac,https://www.620ckrm.com/,Canada,english,"country,sport",AAC+,64
630 CHED,https://corus.leanstream.co/CHEDAM-MP3,https://globalnews.ca/radio/630ched/player/#/,Canada,english,"hockey,news,sports,talk",MP3,128
650 CKGA,https://nyc-edge1-entry1.leanstream-hd.com:2113/CKGAAM,https://vocm.com/,Canada,english,"gander,vocm network",AAC,0
680 News Toronto,https://rogers-hls.leanstream.co/rogers/tor680.stream/playlist.m3u8,https://www.680news.com/,Canada,english,,AAC+,47
70 80 90 ITALIA D'AUTORE,https://maggie.torontocast.com:2020/stream/708090italiadautore,https://radiosuitenetwork.torontocast.stream/70-80-90-italia-dautore/,Canada,english,"70,80,90,classic italian pop,italian pop,musica italiana",MP3,128
70 80 90 Vibrazioni Rock Radio,https://maggie.torontocast.com:2020/stream/vibrazionirockradio,https://radiosuitenetwork.torontocast.stream/vibrazioni-rock-radio/,Canada,english,"70s,80s,90s,blues,blues rock,classic rock,pop rock,rock",MP3,128
80's New Wave Radio,https://puma.streemlion.com:2910/stream,https://newwaveradio.org/,Canada,,"80's,alternative,new wave,synthpop",MP3,128
840 CFSX,https://nyc-edge1-entry1.leanstream-hd.com:2113/CFSXAM,https://vocm.com/,Canada,english,"newfoundland,stephenville,vocm network",AAC,0
88.7 The Ghoat,http://72.167.53.106:8018/MP3,https://theghoat.ca/,Canada,,,AAC+,128
88.9 Shine FM,https://shinefm.streamguys1.com/cjsi,https://www.cjsi.ca/,Canada,english,christian,AAC,95
91.7 ICON Radio,https://vistaradio.streamb.live/SB00081?=&&___cb=30649978586825,https://www.iconradio.com/,Canada,,,AAC+,57
92 CITI FM,https://rogers-hls.leanstream.co/rogers/win921.stream/icy,https://www.921citi.ca/,Canada,,,AAC,198
92.3 Jack FM,https://rogers-hls.leanstream.co/rogers/ott923.stream/icy,https://www.seekyoursounds.com/radio/jack923,Canada,,,AAC,198
"92.5FM The X - CFBX, Kamloops, B.C. Canada",http://198.162.21.84:8002/;?type=http&nocache=10%2Fstream.mp3&_=1,https://thex.ca/,Canada,,,MP3,128
93.3 CFMU,https://stream.cfmu.ca/mount.128mp3,https://cfmu.ca/,Canada,,,MP3,128
"93.7 JR Country - Vancouver, BC",https://redirect.jpbgdigital.com/CJJR,https://www.jrcountry.ca/,Canada,english,"country,country music,hot country hits,new country",AAC+,48
93.7 K Country,https://torres-media.streamb.live/SB00191?starttime=1692206600,https://kcountry937.com/,Canada,,,AAC+,49
94.1 Juice FM,https://vistaradio.streamb.live/SB00087?=&&___cb=750829174267127,https://radioplayer.vistaradio.ca/ckcv,Canada,,,AAC+,57
94.3 Now Radio,https://stream.jpbgdigital.com/CHNW/HEAAC/48k/playlist.m3u8,https://943nowradio.com/,Canada,english,adult contemporary,AAC+,48
94.9 The Wave - CKPE-FM,https://mbsradio.leanstream.co/CKPEFM-MP3,,Canada,english,"70s,80s,classic hits",MP3,64
95.5 Hits FM,https://starboard.streamb.live/SB00160,https://955hitsfm.ca/player/?playerID=1806,Canada,,,AAC+,98
95.7 Cruz FM Edmonton,https://ais-sa1.streamon.fm/7263_64k.mp3,https://www.957cruzfm.ca/,Canada,,,MP3,66
96.3 Reach FM,https://goldenwest.leanstream.co/CJGYFM?args=web_03&=&&___cb=122114544527137,https://reachfm.ca/,Canada,english,,AAC+,63
96.5 The Breeze,https://nyc-edge1-entry1.leanstream-hd.com:2113/CKULFM,https://965thebreeze.com/,Canada,english,adult contemporary,AAC,0
98.5 CKWR Real Community Radio,https://stream2.statsradio.com:8150/stream,https://www.ckwr.com/,Canada,english,"community,local radio,multicultural",MP3,320
98.5FM,https://playerservices.streamtheworld.com/api/livestream-redirect/CHMPFMAAC.aac,,Canada,,talk & speech,MP3,0
989 XFM - CJFX,https://edge.mixlr.com/channel/zwjte,,Canada,english,hits radio,MP3,0
A Dick Ted Radio,http://adickted.ca:8000/stream,http://www.adickted.ca/,Canada,,,MP3,128
A MISSISSIPPI BLUES,https://cast1.torontocast.com:4450/;?type=http&nocache=1745625391,https://radiosuitenetwork.torontocast.stream/amississippiblues/,Canada,english,"blues,bluesrock,canada,country,delta blues,guitar,guitarist,jazz,mississippi,rock,rock and blues,soft blues",MP3,320
A1中文电台,http://s2.voscast.com:9530/,https://www.a1chineseradio.ca/,Canada,"cantonese,chinese","chinese,news,talk",MP3,64
A9RADIO,https://a9radio1-a9media.radioca.st/stream,https://a9radio.com/,Canada,,"arts,culture,music",MP3,128
Abdulbasit Abdulsamad,https://radio.mp3islam.com/listen/abdulbasit/radio.mp3,https://mp3islam.com/,Canada,arabic,,MP3,192
Absoluut FM,https://absoluutfm.stream.laut.fm/absoluutfm,https://www.absoluutfm.com/,Canada,,"community radio,dutch,music",MP3,128
Addicted 2 Oldies Music Radio Canada's #1 RETRO Radio,http://listen.radionomy.com/addicted2oldiesmusic.m3u,https://liveonlineradio.net/es/addicted-2-oldies-music,Canada,english,"canada's #1,juanjitos,oldies,retro radio",MP3,128
Addictive-50s,https://www.radio-addictive-50s.eu/stream/128mp3.m3u,https://www.radio-addictive-50s.eu/,Canada,,"50's,50s,oldies,oldies 50's/60's",MP3,128
Addictive-50s - Golden oldies,http://quincy.torontocast.com:2920/stream,https://www.radio-addictive-50s.eu/,Canada,,"50's,50s,oldies",MP3,128
ADRENALINE RADIO,https://streamer.radio.co/sa77aa975e/listen,https://www.adrradio.com/,Canada,,,MP3,128
AFTERHOURS | AH.FM,https://fr.ah.fm/mobile,https://ah.fm/,Canada,,,AAC+,64
AIRPORT LOUNGE RADIO,https://az1.mediacp.eu/listen/airport-lounge-radio/radio.mp3,https://radiosuitenetwork.torontocast.stream/airport-lounge-radio/,Canada,english,"aereoporto,airport,ambient,chill,chillout,easy listening,house,lounge,smooth,smooth jazz",MP3,128
All sound Radio,https://kathy.torontocast.com:2495/stream,https://allsoundradio.com/,Canada,"canadian,dutch",oldies,MP3,128
Allsound radio (AAC 64k),https://kathy.torontocast.com:2525/stream,https://allsoundradio.com/,Canada,canadian,,AAC+,64
ALT/80,https://jenny.torontocast.com:8050/stream,https://alt80radio.blogspot.com/,Canada,,"80s,new wave",MP3,128
Alternative Rock Variety @ MEGASHUFFLE.com,https://maggie.torontocast.com:9028/stream,https://megashuffle.com/,Canada,,"alternative,alternative / indie,alternative classics,alternative indie rock,alternative rock,new wave",MP3,128
Amazing Discoveries TV,http://uni01rtmp.tulix.tv/amazingdtv/amazingdtv/chunklist_w817917838.m3u8,http://amazingdiscoveries.org/,Canada,english,,UNKNOWN,0
Ambient Art Sound,https://ambientartsound.skydesignltd.com:8000/radio.mp3?refresh=1652750904243,http://www.ambientartsound.com/,Canada,,,MP3,128
American Roots Radio,http://cast1.torontocast.com:2300/stream,https://www.americanrootsradio.com/,Canada,english,"americana,bluegrass,folk,roots",MP3,128
Ancient FM,https://mediaserv73.live-streams.nl:18058/stream,https://www.ancientfm.com/,Canada,"english,french","ancient music,classical,folk,medieval,mittelalter,renaissance",MP3,128
Arina,http://online-radio.eu/export/wmp/63206-radio-arina-amg-radio,http://www.radioarina.ca/,Canada,,,MP3,128
Audiofumes Radio,https://audiofumes.ca:8443/AudiofumesRadio,https://audiofumes.ca/index.shtml,Canada,,,MP3,320
AVR 97.7,http://mbsradio.leanstream.co/CKENFM-MP3,https://avrnetwork.com/,Canada,english,,MP3,64
"Bas-Saint-Laurent, Côte-Nord, Gaspésie-Îles-de-la-Madeleine (Rimouski, QC)",https://rcavliveaudio.akamaized.net/hls/live/2006987/M-7QRIM0_RIM/master.m3u8,https://ici.radio-canada.ca/ohdio/musique,Canada,french,"blues,classical,jazz,world music",AAC,48
"Beach Booster Radio - Wasaga Beach, ON",http://us3.streamingpulse.com:8082/stream,http://beachbooster.com/Radio,Canada,english,"classic hits,oldies,wasaga beach",MP3,128
BEAM FM,https://ice1.streeemer.com:8030/radio.mp3.m3u,https://ice1.streeemer.com:8030/,Canada,,,MP3,128
Beats Radio,https://satcom.rfchosting.ca:8100/stream,https://beatsradio.ca/,Canada,english,"dance,edm,electronic",MP3,192
BestNewAge,http://104.153.209.180:8000/,https://directory.shoutcast.com/,Canada,english,"new age,relax",MP3,128
Birch street radio ,https://jenny.torontocast.com:8172/stream,https://jenny.torontocast.com:8172/stream,Canada,,,AAC,128
Blown,http://crucialvelocity.ca/blown128.m3u,http://crucialvelocity.ca/,Canada,english,"60's,70's,classic rock,hard rock,heavy metal",MP3,192
Bolly radio Canada,https://carina.streamerr.co/stream/8206,https://carina.streamerr.co/stream/8206,Canada,hindi,music,MP3,128
Bolly Radio.com,https://onlineradiobox.com/json/ca/bolly/play?platform=web,https://onlineradiobox.com/json/ca/bolly/play?platform=web,Canada,hindi,music,MP3,128
Boom Tamil,https://s20.reliastream.com:8050/stream,http://www.boomtamil.com/#,Canada,,,MP3,192
BPM Sport 91.9,https://stream.bpmsports.ca/cklx.mp3,https://bpmsports.ca/,Canada,,,MP3,64
BPM sports 91.9,http://icecast-cklx.rncm.ca/cklx.mp3,http://www.bpmsports.ca/,Canada,french,sports,MP3,128
Business News Network Audio Channel,http://provisioning.streamtheworld.com/pls/TV_BNNAAC.pls,http://www.bnn.ca/,Canada,english,"business news,business programs",AAC+,40
Cabin Radio,https://streams.radiomast.io/5f60e08a-1c90-43ed-8714-66e41d15497d?t=dark,https://cabinradio.ca/,Canada,,,MP3,128
"Cabin Radio.ca - Yellowknife, NT",https://streams.radiomast.io/5f60e08a-1c90-43ed-8714-66e41d15497d,https://cabinradio.ca/,Canada,,community radio,MP3,128
