name,stream_url,homepage,country,language,tags,codec,bitrate
#Radio Quran,https://n0a.radiojar.com/0tpy1h0kxtzuv?rj-ttl=5&rj-tok=AAABhdgGORQA-2acfyF3_4WY2g,,Kenya,,classical,MP3,0
Abdulbasit Abdulsamad,https://radio.mp3islam.com/listen/abdulbasit/radio.mp3,https://mp3islam.com/,Kenya,arabic,,MP3,192
Adventist Angels Watchman Radio,http://stream.zeno.fm/7wh3uauhunhvv,http://adventistangelswatchmanradio.com/,Kenya,english,"bible,christian,music,prophecy",MP3,0
ALLIZINIC FM,http://allzic43.ice.infomaniak.ch/allzic43.mp3,http://allzic43.ice.infomaniak.ch/allzic43.mp3,Kenya,,classical,MP3,128
AT254 Online Radio,https://s127.radiolize.com/radio/8100/radio.mp3,https://s127.radiolize.com/public/appsumo__cj6khn_riclf3,Kenya,,,AAC,192
At254 Radio,https://s127.radiolize.com/radio/8100/radio.mp3,https://s127.radiolize.com/public/appsumo__cj6khn_riclf3,Kenya,,,AAC,192
Athiani,https://cast1.asurahosting.com/tunein/infonets.pls,https://www.athianifm.co.ke/,Kenya,kamba,"benga,jazz,kamba hritage",,0
Baze Radio,https://n10.radiojar.com/h831kbtdm3hvv,https://bazeonlineradio.co.ke/,Kenya,english,"afrobeats,hiphop,pop",MP3,0
Bloom Radio,https://www.radioking.com/play/urban-gospel-radio-1?ver=701111,https://bloomradio.co.ke/#,Kenya,,,MP3,128
Bomet Worship radio,http://stream.zeno.fm/v7ngcbhmb78uv,http://stream.zeno.fm/v7ngcbhmb78uv,Kenya,"english,swahili",christian praise&worship,MP3,0
Campus Radio Kenya,https://stream.zenolive.com/mayn36v1v8quv.aac,https://www.campusradio.co.ke/,Kenya,,,AAC,0
CARRIBEAN,https://streams.rautemusik.fm/caribbean-wave/mp3-192/,https://streams.rautemusik.fm/caribbean-wave/mp3-192/,Kenya,,classical,MP3,192
classic,http://media-ice.musicradio.com/ClassicFMMP3,http://media-ice.musicradio.com/ClassicFMMP3,Kenya,english,classic,MP3,128
classic,http://media-ice.musicradio.com/ClassicFMMP3,http://media-ice.musicradio.com/ClassicFMMP3,Kenya,english,classic,MP3,128
classic,http://media-ice.musicradio.com/ClassicFMMP3,http://media-ice.musicradio.com/ClassicFMMP3,Kenya,english,classic,MP3,128
classic,http://media-ice.musicradio.com/ClassicFMMP3,http://media-ice.musicradio.com/ClassicFMMP3,Kenya,english,classic,MP3,128
classic,http://media-ice.musicradio.com/ClassicFMMP3,http://media-ice.musicradio.com/ClassicFMMP3,Kenya,english,classic,MP3,128
Creative Family Radio ,https://stream.zeno.fm/rjpsi0i6sfguv,https://stream.zeno.fm/rjpsi0i6sfguv,Kenya,"english,kiswahili,luhya","and english,gospel swahili,local",MP3,0
Creative Kove Halla,https://stream.zeno.fm/zzfm7bz4668uv,https://stream.zeno.fm/zzfm7bz4668uv,Kenya,"english,luhya,swahili",,MP3,0
Easy FM 101.5,https://stream.zeno.fm/wvw02zaqpxquv,https://zeno.fm/,Kenya,english,soul,MP3,0
Exclusive radio George Straight,https://streaming.exclusive.radio/er/georgestrait/icecast.audio,https://exclusive.com/,Kenya,,,MP3,0
FEEL JAH,http://solid9.streamupsolutions.com:8018/stream,http://solid9.streamupsolutions.com:8018/stream,Kenya,,classical,MP3,128
FM RASSTYLE KENYA,http://stream.zeno.fm/gf58b0pt5x8uv,http://stream.zeno.fm/gf58b0pt5x8uv,Kenya,,classical,MP3,0
George Jones,https://streaming.exclusive.radio/er/georgejones/icecast.audio,https://play.exclusive.radio/,Kenya,,,MP3,0
GHETT,http://stream.zeno.fm/kvudezx1h2zuv,http://stream.zeno.fm/kvudezx1h2zuv,Kenya,,classical,MP3,0
ghett kenya,http://stream-27.zeno.fm/kvudezx1h2zuv?zs=hCl2Q4ZVSPykhlahMviRpQ,http://stream-27.zeno.fm/kvudezx1h2zuv?zs=hCl2Q4ZVSPykhlahMviRpQ,Kenya,,classical,MP3,0
ghett kenya,http://stream-27.zeno.fm/kvudezx1h2zuv?zs=hCl2Q4ZVSPykhlahMviRpQ,http://stream-27.zeno.fm/kvudezx1h2zuv?zs=hCl2Q4ZVSPykhlahMviRpQ,Kenya,,classical,MP3,0
ghetto kenya,https://stream.zeno.fm/kvudezx1h2zuv,https://stream.zeno.fm/kvudezx1h2zuv,Kenya,,classical,MP3,0
GHETTOKE KENYA,http://stream-47.zeno.fm/gf58b0pt5x8uv?zs=9Rb0nsM4TlCJ9aggk8nWAg,,Kenya,,classical,MP3,0
GHETTOO KENYA,http://stream.zeno.fm/cs4q33arb2zuv,http://stream.zeno.fm/cs4q33arb2zuv,Kenya,,classical,MP3,0
GMA News TV International HD,https://stream.gmanews.tv/ioslive/livestream/playlist.m3u8,https://www.gmanetwork.com/international/,Kenya,"english,filipino",news,AAC,319
