name,stream_url,homepage,country,language,tags,codec,bitrate
90.7 Magic FM,http://listen.rba.co.rw:8080/;,http://listen.rba.co.rw/radios/radiomagic.html,Rwanda,,,MP3,131
90.7 Magic FM,http://listen.rba.co.rw:8080/;,http://listen.rba.co.rw/radios/radiomagic.html,Rwanda,,,MP3,131
Abdulbasit Abdulsamad,https://radio.mp3islam.com/listen/abdulbasit/radio.mp3,https://mp3islam.com/,Rwanda,arabic,,MP3,192
Bachwezi radio ,http://stream.zeno.fm/4vcb1euurnhvv,https://mytuner-radio.com/radio/bachwezi-radio-488187/,Rwanda,,,AAC,0
Bachwezi radio ,http://stream.zeno.fm/4vcb1euurnhvv,https://mytuner-radio.com/radio/bachwezi-radio-488187/,Rwanda,,,AAC,0
Country FM 105.7,https://radio.garden/api/ara/content/listen/neJlRqje/channel.mp3?1692198466055,https://countryfmlive.com/,Rwanda,,,MP3,0
DFM Radio ,https://stream.zeno.fm/mtrcigb9yhitv,https://zeno.fm/_next/image/?url=https%3A%2F%2Fimages.zeno.fm%2FKfTplKtGn5cQXCar4Xd2EgOiBSHrtECAox0HV9CgBuc%2Frs%3Afit%3A240%3A240%2Fg%3Ace%3A0%3A0%2FaHR0cHM6Ly9zdHJlYW0tdG9vbHMuemVub21lZGlhLmNvbS9jb250ZW50L3N0YXRpb25zLzdiZDRjMmVjLTVhZTMtNDZiNS05NTk1LTdjMTQ2OTgwODU4YS9pbWFnZS8_dXBkYXRlZD0xNzE0ODQzNzM1MDAw.webp&w=750&q=100,Rwanda,,,MP3,0
DFM Radio (RW),https://stream.zeno.fm/fygodpmrgcquv,https://zeno.fm/_next/image/?url=https%3A%2F%2Fimages.zeno.fm%2FKfTplKtGn5cQXCar4Xd2EgOiBSHrtECAox0HV9CgBuc%2Frs%3Afit%3A240%3A240%2Fg%3Ace%3A0%3A0%2FaHR0cHM6Ly9zdHJlYW0tdG9vbHMuemVub21lZGlhLmNvbS9jb250ZW50L3N0YXRpb25zLzdiZDRjMmVjLTVhZTMtNDZiNS05NTk1LTdjMTQ2OTgwODU4YS9pbWFnZS8_dXBkYXRlZD0xNzE0ODQzNzM1MDAw.webp&w=750&q=100,Rwanda,,,MP3,0
DFM Radio Rwanda ,https://stream.zeno.fm/fygodpmrgcquv,https://zeno.fm/_next/image/?url=https%3A%2F%2Fimages.zeno.fm%2FKfTplKtGn5cQXCar4Xd2EgOiBSHrtECAox0HV9CgBuc%2Frs%3Afit%3A240%3A240%2Fg%3Ace%3A0%3A0%2FaHR0cHM6Ly9zdHJlYW0tdG9vbHMuemVub21lZGlhLmNvbS9jb250ZW50L3N0YXRpb25zLzdiZDRjMmVjLTVhZTMtNDZiNS05NTk1LTdjMTQ2OTgwODU4YS9pbWFnZS8_dXBkYXRlZD0xNzE0ODQzNzM1MDAw.webp&w=750&q=100,Rwanda,"english,kiswahili","music,news talk music",MP3,0
Gendana n'igihe radio ,http://stream.zeno.fm/1ev107turnhvv,https://www.socialcreator.com/gendananigiheradio,Rwanda,,,AAC,0
Gendana n'igihe radio ,http://stream.zeno.fm/1ev107turnhvv,https://www.socialcreator.com/gendananigiheradio,Rwanda,,,AAC,0
Heaven FM Radio Rwanda,http://stream.zeno.fm/eequgfw72hhvv,https://zeno.fm/_next/image/?url=https%3A%2F%2Fimages.zeno.fm%2FjVwXjJnAN_TFwdnscjgzoRtEirCylumB5_sOFRQUbDM%2Frs%3Afit%3A240%3A240%2Fg%3Ace%3A0%3A0%2FaHR0cHM6Ly9wcm94eS56ZW5vLmZtL2NvbnRlbnQvc3RhdGlvbnMvYWd4emZucGxibTh0YzNSaGRITnlNZ3NTQ2tGMWRHaERiR2xsYm5RWWdJQ0lsdGlDbUFvTUN4SU9VM1JoZEdsdmJsQnliMlpwYkdVWWdJQ0lscWlLb0FnTW9nRUVlbVZ1YncvaW1hZ2UvP3Jlc2l6ZT0yNDB4MjQwJnVwZGF0ZWQ9MTY1NzYwMTQzNDAwMA.webp&w=750&q=75,Rwanda,,,MP3,0
KC RADIO,https://stream.zeno.fm/mqcbxsoxkuzvv,https://kigaliconnect.wuaze.com/,Rwanda,,,MP3,0
KIGALI YACU Online Radio,https://stream.zeno.fm/1m29g6tg308uv,https://liveonlineradio.net/kigali-yacu-online-radio,Rwanda,kinyarwanda,"general,internet radio",MP3,0
Magic FM,http://listen.rba.co.rw:8080/,http://rba.co.rw/radio/7/Magic-Fm,Rwanda,,"dance,pop",MP3,131
Radio 1,http://80.241.215.175:5000/;,http://tv1.rw/,Rwanda,,"local music,news,talk",MP3,128
RADIO MARIA RWANDA,http://dreamsiteradiocp.com:8044/stream,http://www.radiomaria.rw/,Rwanda,,"catholic,christian,cristiana,religion,religious,talk",AAC+,32
Royal FM,http://80.241.215.175:3000/;,http://royalfm.rw/,Rwanda,,"music,news,public,talk",MP3,128
Royal FM 94.3 Rwanda,http://80.241.215.175:3000/;,http://www.royalfm.rw/,Rwanda,,,MP3,128
Royal FM 94.3 Rwanda,http://80.241.215.175:3000/;,https://royalfm.rw/index.html,Rwanda,,,MP3,128
