name,stream_url,homepage,country,language,tags,codec,bitrate
Abc Global Radio ,https://stream.zeno.fm/tvb2jrc38hmuv,https://onlineradiobox.com/tz/abcglobal/?cs=tz.abcglobal,United Republic Of Tanzania,,,MP3,0
Abdulbasit Abdulsamad,https://radio.mp3islam.com/listen/abdulbasit/radio.mp3,https://mp3islam.com/,United Republic Of Tanzania,arabic,,MP3,192
Capital Radio,https://capitalradio.radioca.st/stream,https://www.capitalradio.co.tz/,United Republic Of Tanzania,"english,swahili","news,talk",MP3,64
Christian FM Radio,http://stream.zeno.fm/eequgfw72hhvv,https://zeno.fm/_next/image/?url=https%3A%2F%2Fimages.zeno.fm%2FyeLUI0UyY7R64PJY_cI_cPWHmb16KR3Hdy8qWJcX5Sg%2Frs%3Afit%3A240%3A240%2Fg%3Ace%3A0%3A0%2FaHR0cHM6Ly9zdHJlYW0tdG9vbHMuemVub21lZGlhLmNvbS9jb250ZW50L3N0YXRpb25zLzJhNzc5ZjhiLTk3MmYtNDNhYS1iYTY3LTIwMDM1NTExNjE3My9pbWFnZS8_dXBkYXRlZD0xNjcyODQwMzg5MDAw.webp&w=750&q=75,United Republic Of Tanzania,,,MP3,0
Clouds FM,http://eu6.fastcast4u.com:5306/;,https://cloudsmedia.co.tz/home/clouds-fm,United Republic Of Tanzania,,,MP3,128
Clouds FM,http://eu6.fastcast4u.com:5306/;,https://www.cloudsfm.com/,United Republic Of Tanzania,swahili,"pop,top 40",MP3,128
Deliverance Radio ,https://stream.zeno.fm/mtrcigb9yhitv,https://zeno.fm/_next/image/?url=https%3A%2F%2Fimages.zeno.fm%2F4YpVj6s7UHzs8tk6bavm7uvWA40hhaj1tDz2gwCWl78%2Frs%3Afit%3A240%3A240%2Fg%3Ace%3A0%3A0%2FaHR0cHM6Ly9zdHJlYW0tdG9vbHMuemVub21lZGlhLmNvbS9jb250ZW50L3N0YXRpb25zL2NmYTJkYWY0LWZjZjktNDk5ZS04MzQzLWI3MmJjMjRhYWY2YS9pbWFnZS8_dXBkYXRlZD0xNzA2MjIyOTQyMDAw.webp&w=750&q=100,United Republic Of Tanzania,,,MP3,0
DFM Radio ,https://stream.zeno.fm/fygodpmrgcquv,https://zeno.fm/_next/image/?url=https%3A%2F%2Fimages.zeno.fm%2FKfTplKtGn5cQXCar4Xd2EgOiBSHrtECAox0HV9CgBuc%2Frs%3Afit%3A240%3A240%2Fg%3Ace%3A0%3A0%2FaHR0cHM6Ly9zdHJlYW0tdG9vbHMuemVub21lZGlhLmNvbS9jb250ZW50L3N0YXRpb25zLzdiZDRjMmVjLTVhZTMtNDZiNS05NTk1LTdjMTQ2OTgwODU4YS9pbWFnZS8_dXBkYXRlZD0xNzE0ODQzNzM1MDAw.webp&w=750&q=100,United Republic Of Tanzania,,,MP3,0
East Africa Radio FM,https://eatv.radioca.st/stream,https://www.eastafricaradio.com/,United Republic Of Tanzania,swahili,"african music,pop,soccer,sport,talk",MP3,64
El olama fm,https://stream.zeno.fm/4xt5iodsby3tv,https://elolamafm.vercel.app/,United Republic Of Tanzania,"english,swahili","entertainment,jazz,news,religious,stories",MP3,0
Heaven FM Radio,http://stream.zeno.fm/eequgfw72hhvv,http://zeno.fm/heaven-fm-radio/,United Republic Of Tanzania,swahili/,gospel/,MP3,0
Heaven FM Radio,http://stream.zeno.fm/eequgfw72hhvv,https://zeno.fm/_next/image/?url=https%3A%2F%2Fimages.zeno.fm%2FjVwXjJnAN_TFwdnscjgzoRtEirCylumB5_sOFRQUbDM%2Frs%3Afit%3A240%3A240%2Fg%3Ace%3A0%3A0%2FaHR0cHM6Ly9wcm94eS56ZW5vLmZtL2NvbnRlbnQvc3RhdGlvbnMvYWd4emZucGxibTh0YzNSaGRITnlNZ3NTQ2tGMWRHaERiR2xsYm5RWWdJQ0lsdGlDbUFvTUN4SU9VM1JoZEdsdmJsQnliMlpwYkdVWWdJQ0lscWlLb0FnTW9nRUVlbVZ1YncvaW1hZ2UvP3Jlc2l6ZT0yNDB4MjQwJnVwZGF0ZWQ9MTY1NzYwMTQzNDAwMA.webp&w=750&q=75,United Republic Of Tanzania,,,MP3,0
Heaven Radio,http://stream.zeno.fm/eequgfw72hhvv,http://zeno.fm/radio/heaven-fm-radio/,United Republic Of Tanzania,swahili,gospel,MP3,0
IBN TV,http://138.68.138.119:8080/low/5a8993709ea19/index.m3u8,http://www.ibn-tv.com/,United Republic Of Tanzania,english,,UNKNOWN,0
ImbaNasi,https://stream.zeno.fm/dsfhivkawjiuv,http://imbanasi.com/,United Republic Of Tanzania,,,MP3,0
Ishizwe FM ,https://stream.zeno.fm/zhhawbqoikatv,https://ishizwemedia.co.t/,United Republic Of Tanzania,,,MP3,0
K9 FM,https://stream.zeno.fm/crg9qh3i3wduv,https://ishizwemedia.co.tz/,United Republic Of Tanzania,,,MP3,0
Kipiti Radio,http://stream.zeno.fm/7ebq5q3tcv8uv,http://kipitiradio.blogspot.com/,United Republic Of Tanzania,,international,MP3,0
Mungu Kwanza,https://mungukwanza.radioca.st/;,https://mungukwanza.com/,United Republic Of Tanzania,,,MP3,128
