name,stream_url,homepage,country,language,tags,codec,bitrate
. Abdulbasit Abdulsamad,https://radio.mp3islam.com/listen/abdulbasit/radio.mp3,https://mp3islam.com/,Uganda,arabic,,MP3,192
100.5 Bukedde FM,https://stream.hydeinnovations.com:2020/stream/bukeddefm/stream,https://stream.hydeinnovations.com:2020/stream/bukeddefm/stream,Uganda,luganda,current affairs,MP3,128
100.5 Bukedde Fm,https://stream.hydeinnovations.com:2020/stream/bukeddefm/stream/1/,https://stream.hydeinnovations.com:2020/stream/bukeddefm/stream/1/,Uganda,luganda,embutikizi,MP3,128
100.5 Bukedde Fm,https://stream.hydeinnovations.com:2020/stream/bukeddefm/stream,https://www.bukedde.co.ug/,Uganda,luganda,news variety,MP3,128
100.5 Bukedde FM ,https://stream.hydeinnovations.com:2020/stream/bukeddefm/stream,https://stream.hydeinnovations.com:2020/stream/bukeddefm/stream,Uganda,luganda,current affairs,MP3,128
100.5 Bukedde FM ,https://stream.hydeinnovations.com:2020/stream/bukeddefm/stream,https://stream.hydeinnovations.com:2020/stream/bukeddefm/stream,Uganda,luganda english,uganda,MP3,128
101.8 Radio maria,http://dreamsiteradiocp.com:8052/stream,http://www.radiomaria.ug/,Uganda,luganda,christian,MP3,48
101.8 Radio Maria,http://dreamsiteradiocp.com:8052/stream,http://dreamsiteradiocp.com:8052/stream,Uganda,lumasaba luganda english,religious,MP3,48
102.6 FM Hope Radio - Kabale - 102.6 FM (MP3),http://stream.zeno.fm/t4598wzxfkhvv,http://www.hoperadio.co.ug/,Uganda,english,"christian,commercial,gospel,religious",MP3,0
104.1 Favour FM - Gulu - 104.1 FM,http://us5new.listen2myradio.com:2199/listen.php?port=8138&type=ice&mount=stream,https://www.favourfm.org/,Uganda,"english,luganda,swahili","christian,gospel,religious",MP3,0
104.1 Favour FM - Gulu - 104.1 FM (MP3),http://us5new.listen2myradio.com:2199/listen.php?port=8138&type=ice&mount=stream,https://www.favourfm.org/,Uganda,english,"christian,gospel",MP3,0
104.1 Favour FM - The HeartBeat Of God - Gulu - 104.1 FM,http://stream.zeno.fm/u2uva230xp8uv,https://www.favourfm.org/,Uganda,"english,luganda,swahili","christian,gospel,religious",MP3,0
104.1 Favour FM - The HeartBeat Of God - Gulu - 104.1 FM (MP3),http://stream.zeno.fm/u2uva230xp8uv,https://www.favourfm.org/,Uganda,"english,luganda,swahili","christian,gospel,religious",MP3,0
104.4 Kaboozi Fm,http://162.244.80.52:8732/;stream.mp3,https://akaboozi.fm/,Uganda,luganda,rock,MP3,64
104.5 Joy Fm,https://stream-47.zeno.fm/5b2gp19esc9uv,https://stream-47.zeno.fm/5b2gp19esc9uv,Uganda,lumasaba luganda english,religious,MP3,0
104.5 Joy fm,https://stream-47.zeno.fm/5b2gp19esc9uv,https://zeno.fm/radio/104-5-joyfm-uganda/,Uganda,luganda,christian,MP3,0
105.2 Wave FM,https://edge-bauerall-01-gos2.sharp-stream.com/wave105.mp3,https://edge-bauerall-01-gos2.sharp-stream.com/wave105.mp3,Uganda,english,current affairs,,0
106.1 Next Radio ,https://stream-154.zeno.fm/lbca7zintcnuv?zs=P9UBEqoSSr69riqZniMYMw,https://nextradio.co.ug/,Uganda,luganda,rock,MP3,0
106.1 NxtRadio,https://stream-154.zeno.fm/lbca7zintcnuv?zs=P9UBEqoSSr69riqZniMYMw,https://stream-154.zeno.fm/lbca7zintcnuv?zs=P9UBEqoSSr69riqZniMYMw,Uganda,english uk,current affairs,MP3,0
106.1 NxtRadio,https://stream-154.zeno.fm/lbca7zintcnuv?zs=P9UBEqoSSr69riqZniMYMw,https://stream-154.zeno.fm/lbca7zintcnuv?zs=P9UBEqoSSr69riqZniMYMw,Uganda,english uk,current affairs,MP3,0
106.7 Glory Fm,https://stream-25.zeno.fm/5remmcqkpd0uv,https://gloryfm.live/,Uganda,luganda,variety,MP3,0
107.3 BBC Radio Uganda ,https://stream.live.vc.bbcmedia.co.uk/bbc_world_service_west_africa,https://bbc.ug/,Uganda,english,news,MP3,56
107.3 BBC Radio Uganda ,https://stream.live.vc.bbcmedia.co.uk/bbc_world_service_west_africa,https://bbc.ug/,Uganda,english,music,MP3,56
107.9 Pearl Fm ,https://dc4.serverse.com/proxy/pearlfm/stream,https://dc4.serverse.com/proxy/pearlfm/stream,Uganda,english,rock,MP3,96
107.9 Pearl Fm,https://dc4.serverse.com/proxy/pearlfm/stream/1/,https://dc4.serverse.com/proxy/pearlfm/stream/1/,Uganda,luganda english,religious,MP3,96
107.9 Pearl Fm,https://dc4.serverse.com/proxy/pearlfm/stream/1/,https://dc4.serverse.com/proxy/pearlfm/stream/1/,Uganda,luganda,religious,MP3,96
107.9 Pearl Fm,https://dc4.serverse.com/proxy/pearlfm/stream/1/,https://pearlfmuganda.com/,Uganda,luganda,rock,MP3,96
80's 90's old music radio,https://maggie.torontocast.com:2020/stream/100greatestofthe80s,https://100-greatest-network.torontocast.stream/,Uganda,english,music,MP3,192
87.5 STAR  FM,https://stream-151.zeno.fm/uyqmwxv4vwzuv?zt=eyJhbGciOiJIUzI1NiJ9.eyJzdHJlYW0iOiJ1eXFtd3h2NHZ3enV2IiwiaG9zdCI6InN0cmVhbS0xNTEuemVuby5mbSIsInJ0dGwiOjUsImp0aSI6IlQwVkRpX1VHUzNPdG5DR0JRRUlOVXciLCJpYXQiOjE,https://stream-151.zeno.fm/uyqmwxv4vwzuv?zt=eyJhbGciOiJIUzI1NiJ9.eyJzdHJlYW0iOiJ1eXFtd3h2NHZ3enV2IiwiaG9zdCI6InN0cmVhbS0xNTEuemVuby5mbSIsInJ0dGwiOjUsImp0aSI6IlQwVkRpX1VHUzNPdG5DR0JRRUlOVXciLCJpYXQiOjE,Uganda,english,star,AAC,0
87.9 Kaboozi Fm,http://162.244.80.52:8732/;stream.mp3,http://162.244.80.52:8732/;stream.mp3,Uganda,lumasaba luganda english,current affairs,MP3,64
87.9 Kaboozi fm,http://162.244.80.52:8732/stream.mp3,https://www.akaboozi.com/,Uganda,english,"sports commentary,variety",MP3,64
87.9 Kaboozi Fm,http://162.244.80.52:8732/stream.mp3,https://www.akaboozi.fm/,Uganda,luganda,rock,MP3,64
87.9 Kaboozi Fm,http://162.244.80.52:8732/stream.mp3,https://supersport.com/,Uganda,luganda,"current affairs,sports",MP3,64
88.1 Centenary Fm ,https://stream.zeno.fm/lnmf4ymggmovv,https://stream.zeno.fm/lnmf4ymggmovv,Uganda,luganda english,religious,MP3,0
88.1 Centenary Fm,https://stream.zeno.fm/lnmf4ymggmovv,https://stream.zeno.fm/lnmf4ymggmovv,Uganda,luganda english,religious,MP3,0
88.1 Centenary Fm ,https://stream.zeno.fm/lnmf4ymggmovv,https://stream.zeno.fm/lnmf4ymggmovv,Uganda,luganda english,religious,MP3,0
88.1 Centenary Fm,https://c24.radioboss.fm:18185/stream,https://mynoise.net/,Uganda,luganda,current affairs,MP3,128
88.1 Centenary Fm ,https://stream.zeno.fm/lnmf4ymggmovv,https://stream.zeno.fm/lnmf4ymggmovv,Uganda,luganda english,religious,MP3,0
88.1 Centenary Fm,https://stream.zeno.fm/lnmf4ymggmovv,https://stream.zeno.fm/lnmf4ymggmovv,Uganda,luganda,religious,MP3,0
88.1 Centenary Fm ,https://stream.zeno.fm/lnmf4ymggmovv,https://stream.zeno.fm/lnmf4ymggmovv,Uganda,luganda,religious,MP3,0
88.1 Centenary Fm,https://stream.zeno.fm/lnmf4ymggmovv,https://centenaryradiofm.com/,Uganda,luganda,music,MP3,0
88.2 Sanyu Fm,http://s44.myradiostream.com:8138/stream,http://s44.myradiostream.com:8138/stream,Uganda,english,music,AAC+,48
88.2 Sanyu FM - 88.2 FM (MP3),http://s44.myradiostream.com/8138/listen.mp3,https://sanyufm.com/,Uganda,"english,luganda","culture,information,music",AAC+,48
