name,stream_url,homepage,country,language,tags,codec,bitrate
 Techno - FM - Channel,https://stream.techno.fm/radio1-320k.mp3,https://techno.fm/,The United Kingdom Of Great Britain And Northern Ireland,,techno,MP3,320
. Abdulbasit Abdulsamad,https://radio.mp3islam.com/listen/abdulbasit/radio.mp3,https://mp3islam.com/,The United Kingdom Of Great Britain And Northern Ireland,arabic,,MP3,192
.. Al quran radio ,https://n0a.radiojar.com/0tpy1h0kxtzuv?rj-ttl=5&rj-tok=AAABhdgGORQA-2acfyF3_4WY2g,,The United Kingdom Of Great Britain And Northern Ireland,,classical,MP3,0
10 Radio 105.3 - Wiveliscombe,http://live.canstream.co.uk:8000/10radio.mp3,http://10radio.org/,The United Kingdom Of Great Britain And Northern Ireland,english,"community radio,somerset,wivelliscombe",MP3,128
100 hitz,http://206.217.213.235:8290/,http://206.217.213.235:8290/,The United Kingdom Of Great Britain And Northern Ireland,english,rock,MP3,128
100.8 Home Radio,https://uksoutha.streaming.broadcast.radio/home?1721747577077=,https://www.homeradio.org/,The United Kingdom Of Great Britain And Northern Ireland,,,MP3,0
100% Hip Hop | NTS,https://stream-mixtape-geo.ntslive.net/mixtape2,https://www.nts.live/infinite-mixtapes/100-percent-hip-hop,The United Kingdom Of Great Britain And Northern Ireland,english,hip-hop,MP3,0
100% Whatever Westcountry,https://dh1-sanityradio.radioca.st/stream,https://whateverwestcountry.com/,The United Kingdom Of Great Britain And Northern Ireland,,,MP3,0
101.8 WCR FM,https://stream3.themediasite.co.uk:8312/stream?_=580911,https://www.wcrfm.com/,The United Kingdom Of Great Britain And Northern Ireland,,,MP3,128
103 The Eye,http://www.103theeye.co.uk/listen.m3u,http://www.103theeye.co.uk/,The United Kingdom Of Great Britain And Northern Ireland,,,MP3,128
105.9 Academy FM (Folkestone),http://s2.xrad.io:8080/stream,https://www.academyfmfolkestone.com/,The United Kingdom Of Great Britain And Northern Ireland,english,,AAC+,48
106.9 SFM,https://streaming05.liveboxstream.uk/proxy/sittingb?mp=/stream,https://www.sfmradio.com/,The United Kingdom Of Great Britain And Northern Ireland,,,MP3,128
107.8 Black Diamond FM,https://icecast-s.bdfm.radio/blackdiamondfm?icecast,https://www.blackdiamondfm.com/,The United Kingdom Of Great Britain And Northern Ireland,english,"107.8,107.8 fm,country,music,regge,reggeton,rock",MP3,128
107.8 Radio Jackie,https://media.radiojackie.com/redirector/livestream.m3u8,https://radiojackie.com/,The United Kingdom Of Great Britain And Northern Ireland,,,UNKNOWN,0
107FM,http://88.99.195.180:8031/stream,https://107fm.co.uk/,The United Kingdom Of Great Britain And Northern Ireland,,community,MP3,128
121 Radio,http://ukwesta.streaming.broadcast.radio:10650/121radio.m3u,https://121radio.com/,The United Kingdom Of Great Britain And Northern Ireland,"british english,english uk","adult contemporary,oldies",MP3,0
1940s Radio - Home Service - UK 1940s 1950s (Pumpkin FM OTRN),https://cast2.asurahosting.com/proxy/1940sradio/stream,https://1940sradio.stream/,The United Kingdom Of Great Britain And Northern Ireland,,,MP3,128
1940s Radio Station,https://control.internet-radio.com:2199/tunein/1940sradio.pls,https://1940sradio.com/,The United Kingdom Of Great Britain And Northern Ireland,,,MP3,128
1940sRadio,http://uk3.internet-radio.com:8082/live.m3u,https://1940sradio.com/,The United Kingdom Of Great Britain And Northern Ireland,english,"big band,crooners,jazz,music from the 1940s",MP3,128
1BTN,https://edge.clrmedia.co.uk/obfm_mp3,https://1btn.fm/,The United Kingdom Of Great Britain And Northern Ireland,english uk,"electronic,funk,house,reggae,soul",MP3,0
1Mix EDM Radio,http://fr1.1mix.co.uk:8060/,http://www.1mix.co.uk/edm-home,The United Kingdom Of Great Britain And Northern Ireland,english,"edm,trance",MP3,320
1Mix Radio - EDM (UK) 128kb mp3,http://fr2.1mix.co.uk:9000/128h,https://www.1mix.co.uk/,The United Kingdom Of Great Britain And Northern Ireland,english,edm,MP3,128
1Mix Radio - EDM (UK) 192kb mp3,http://fr2.1mix.co.uk:9000/192h,https://www.1mix.co.uk/,The United Kingdom Of Great Britain And Northern Ireland,english,edm,MP3,192
1Mix Radio - EDM (UK) 320kb mp3,http://fr2.1mix.co.uk:9000/320h,https://www.1mix.co.uk/,The United Kingdom Of Great Britain And Northern Ireland,english,edm,MP3,320
1Mix Radio - EDM (UK) 32kb aac+,http://fr2.1mix.co.uk:9000/aach,https://www.1mix.co.uk/,The United Kingdom Of Great Britain And Northern Ireland,english,edm,AAC+,32
1Mix Radio - House (UK) 128kb mp3,http://fr2.1mix.co.uk:9000/128hb,https://www.1mix.co.uk/,The United Kingdom Of Great Britain And Northern Ireland,english,house,MP3,128
1Mix Radio - House (UK) 192kb mp3,http://fr2.1mix.co.uk:9000/192hb,https://www.1mix.co.uk/,The United Kingdom Of Great Britain And Northern Ireland,english,house,MP3,192
1Mix Radio - House (UK) 320kb mp3,http://fr2.1mix.co.uk:9000/320hb,https://www.1mix.co.uk/,The United Kingdom Of Great Britain And Northern Ireland,english,house,MP3,320
1Mix Radio - House (UK) 32kb aac+,http://fr2.1mix.co.uk:9000/aachb,https://www.1mix.co.uk/,The United Kingdom Of Great Britain And Northern Ireland,english,house,AAC+,32
1Mix Radio - Trance (UK) 128kb mp3,http://fr2.1mix.co.uk:9000/128b,https://www.1mix.co.uk/,The United Kingdom Of Great Britain And Northern Ireland,english,trance,MP3,128
1Mix Radio - Trance (UK) 192kb mp3,http://fr2.1mix.co.uk:9000/192b,https://www.1mix.co.uk/,The United Kingdom Of Great Britain And Northern Ireland,english,trance,MP3,192
1Mix Radio - Trance (UK) 320kb mp3,http://fr2.1mix.co.uk:9000/320b,https://www.1mix.co.uk/,The United Kingdom Of Great Britain And Northern Ireland,english,trance,MP3,320
1Mix Radio - Trance (UK) 32kb aac+,http://fr2.1mix.co.uk:9000/aacb,https://www.1mix.co.uk/,The United Kingdom Of Great Britain And Northern Ireland,english,trance,AAC+,32
1Mix Radio - Trance #1 (UK) 128kb mp3,http://fr2.1mix.co.uk:9000/128,https://www.1mix.co.uk/,The United Kingdom Of Great Britain And Northern Ireland,english,trance,MP3,128
1Mix Radio - Trance #1 (UK) 192kb mp3,http://fr2.1mix.co.uk:9000/192,https://www.1mix.co.uk/,The United Kingdom Of Great Britain And Northern Ireland,english,trance,MP3,192
1Mix Radio - Trance #1 (UK) 320kb mp3,http://fr2.1mix.co.uk:9000/320,https://www.1mix.co.uk/,The United Kingdom Of Great Britain And Northern Ireland,english,trance,MP3,320
1Mix Radio - Trance #1 (UK) 32kb aac+,http://fr2.1mix.co.uk:9000/aac,https://www.1mix.co.uk/,The United Kingdom Of Great Britain And Northern Ireland,english,trance,AAC+,32
1Mix Radio Trance,http://fr2.1mix.co.uk:8060/320,https://www.1mix.co.uk/,The United Kingdom Of Great Britain And Northern Ireland,,,MP3,320
1Mix Radio Trance,http://1mix.co.uk/trance/listenh.m3u,http://www.1mix.co.uk/,The United Kingdom Of Great Britain And Northern Ireland,english,"club,trance",MP3,192
24 Horas Rádio,http://94.23.159.187:9958/;stream.mp3,http://www.24horasradio.com/,The United Kingdom Of Great Britain And Northern Ireland,portuguese,"gospel,religion,variety",MP3,128
24-7 Decades,https://antares.dribbcast.com:2199/tunein/s8120.pls,https://24-7nicheradio.com/audiogallery/24-7-decades/,The United Kingdom Of Great Britain And Northern Ireland,,decades,MP3,128
24-7 Disco,https://antares.dribbcast.com/proxy/s8190/stream,https://24-7nicheradio.com/audiogallery/24-7-disco/,The United Kingdom Of Great Britain And Northern Ireland,,,MP3,128
24-7 Dreamboats And Petticoats,https://antares.dribbcast.com:2199/tunein/s8100.pls,https://24-7nicheradio.com/audiogallery/24-7-dreamsboats/,The United Kingdom Of Great Britain And Northern Ireland,,dreamboats and petticoats,MP3,128
24-7 Just Rock,https://antares.dribbcast.com:2199/tunein/s8170.pls,https://24-7nicheradio.com/audiogallery/24-7-hardrock/,The United Kingdom Of Great Britain And Northern Ireland,,just rock,MP3,128
24-7 Legends,https://antares.dribbcast.com:2199/tunein/s8160.pls,https://24-7nicheradio.com/audiogallery/24-7-psychedelic-2/,The United Kingdom Of Great Britain And Northern Ireland,,,MP3,128
24-7 Legends Classic Rock,https://antares.dribbcast.com:2199/tunein/s8180.pls,https://24-7nicheradio.com/audiogallery/24-7-classic-rocks/,The United Kingdom Of Great Britain And Northern Ireland,,legends classic rock,MP3,128
24-7 Motown,https://antares.dribbcast.com:2199/tunein/s8110.pls,https://24-7nicheradio.com/audiogallery/24-7-motown/,The United Kingdom Of Great Britain And Northern Ireland,,motown,MP3,128
24-7 Party,https://antares.dribbcast.com:2199/tunein/s8240.pls,https://24-7nicheradio.com/audiogallery/24-7-party/,The United Kingdom Of Great Britain And Northern Ireland,,party,MP3,128
24-7 Psychedelic Rock,https://antares.dribbcast.com:2199/tunein/s8150.pls,https://24-7nicheradio.com/audiogallery/24-7-psychedelic/,The United Kingdom Of Great Britain And Northern Ireland,,psychedelic rock,MP3,128
24-7 Reggae,https://antares.dribbcast.com:2199/tunein/s8200.pls,https://24-7nicheradio.com/audiogallery/24-7-reggae/,The United Kingdom Of Great Britain And Northern Ireland,,reggae,MP3,128
24-7 Rock ‘n’ Roll,https://antares.dribbcast.com:2199/tunein/s8130.pls,https://24-7nicheradio.com/audiogallery/24-7-rock-n-roll/,The United Kingdom Of Great Britain And Northern Ireland,,rock ‘n’ roll,MP3,128
24-7 Soul,https://antares.dribbcast.com:2199/tunein/s8300.pls,https://24-7nicheradio.com/audiogallery/24-7-soul/,The United Kingdom Of Great Britain And Northern Ireland,,soul,MP3,128
24-7 The ’60s,https://antares.dribbcast.com:2199/tunein/s8220.pls,https://24-7nicheradio.com/audiogallery/24-7-the-60s/,The United Kingdom Of Great Britain And Northern Ireland,,,MP3,128
24-7 The 70s,https://antares.dribbcast.com:2199/tunein/s8260.pls,https://24-7nicheradio.com/audiogallery/24-7-the-70s/,The United Kingdom Of Great Britain And Northern Ireland,,the 70s,MP3,128
24/7 Blues Radio,https://ec3.yesstreaming.net:3685/stream,https://www.247onlineradio.com/24-7-online-radio-group-stations/24-7-blues-radio/,The United Kingdom Of Great Britain And Northern Ireland,,blues,MP3,64
24/7 Bossa Nova Radio,https://ec6.yesstreaming.net:1605/stream,https://www.247onlineradio.com/24-7-online-radio-group-stations/24-7-bossa-nova-radio/,The United Kingdom Of Great Britain And Northern Ireland,english,"bossa nova,smooth jazz",MP3,64
24/7 Cafe Radio,https://ec6.yesstreaming.net:1555/stream,https://www.247caferadio.com/,The United Kingdom Of Great Britain And Northern Ireland,,,MP3,64
24/7 Chill Radio,https://ec3.yesstreaming.net:3665/stream,https://www.247onlineradio.com/24-7-online-radio-group-stations/24-7-chill-radio/,The United Kingdom Of Great Britain And Northern Ireland,english,,MP3,64
24/7 Classical Radio,https://ec3.yesstreaming.net:3615/stream,https://www.247onlineradio.com/classical-radio/,The United Kingdom Of Great Britain And Northern Ireland,,,MP3,64
24/7 Country Walks Radio,https://ec6.yesstreaming.net:1585/stream,https://www.247onlineradio.com/24-7-online-radio-group-stations/24-7-country-walks-radio/,The United Kingdom Of Great Britain And Northern Ireland,english,"environnement,meditation,nature,relaxation",MP3,64
24/7 EDM Radio,https://ec6.yesstreaming.net:1455/stream,https://www.247onlineradio.com/24-7-edm-radio/,The United Kingdom Of Great Britain And Northern Ireland,english,"edm,electronic dance music",MP3,64
24/7 Jazz Radio,https://ec3.yesstreaming.net:3455/stream,https://www.247onlineradio.com/24-7-jazz-radio/,The United Kingdom Of Great Britain And Northern Ireland,english,jazz,MP3,64
24/7 Lofi Radio,https://ec3.yesstreaming.net:3755/stream,https://www.247lofiradio.com/,The United Kingdom Of Great Britain And Northern Ireland,,,MP3,64
24/7 London Radio - Royalty Free Music,https://ec3.yesstreaming.net:3645/stream,https://www.247londonradio.com/royalty-free-music/,The United Kingdom Of Great Britain And Northern Ireland,,"24/7,free,london,royalty free",MP3,64
24/7 Nature Radio,https://ec3.yesstreaming.net:3545/stream,https://www.247natureradio.com/,The United Kingdom Of Great Britain And Northern Ireland,english,"environment,nature",MP3,64
24/7 Online Radio,https://ec3.yesstreaming.net:3585/stream,https://www.247onlineradio.com/24-7-online-radio/,The United Kingdom Of Great Britain And Northern Ireland,,"chillout,easy listening,independent artists,lounge",MP3,64
24/7 Restaurant Radio,https://ec6.yesstreaming.net:1655/stream,https://www.247restaurantradio.com/,The United Kingdom Of Great Britain And Northern Ireland,,,MP3,64
24/7 SciFi Radio,https://ec6.yesstreaming.net:1465/stream,https://www.247onlineradio.com/24-7-online-radio-group-stations/24-7-scifi-radio/,The United Kingdom Of Great Britain And Northern Ireland,english,"ambient,new age,sci-fi",MP3,64
24/7 Seawaves Radio,https://ec6.yesstreaming.net:1505/stream,https://www.247natureradio.com/24-7-seawaves-radio/,The United Kingdom Of Great Britain And Northern Ireland,english,"meditation,nature,relaxation,seawaves",MP3,64
24/7 Spa Radio,https://ec6.yesstreaming.net:2915/stream,https://www.247sparadio.com/,The United Kingdom Of Great Britain And Northern Ireland,,,MP3,64
242 RADIO,http://uk7.internet-radio.com:8168/stream,http://www.242radio.com/,The United Kingdom Of Great Britain And Northern Ireland,,,MP3,128
242 Radio,https://uk7.internet-radio.com/proxy/242radio?mp=/stream&1740815149872,https://www.242radio.com/,The United Kingdom Of Great Britain And Northern Ireland,,,MP3,128
242 Radio,https://uk7.internet-radio.com/proxy/242radio?mp=/stream&1705137844878,https://www.242radio.com/,The United Kingdom Of Great Britain And Northern Ireland,,,MP3,128
246 Bajan Vibes Radio,http://s32.myradiostream.com:6006/live,https://246bajanvibesradio.com/,The United Kingdom Of Great Britain And Northern Ireland,english,"call-in,caribbean music,discussion,hits,oldies,soca,world music",MP3,320
4 To The Floor - Infinite Mixtapes | NTS,https://stream-mixtape-geo.ntslive.net/mixtape5,https://www.nts.live/infinite-mixtapes/4-to-the-floor,The United Kingdom Of Great Britain And Northern Ireland,,"house,techno",MP3,0
45 Radio,https://stream1.themediasite.co.uk:7009/stream,https://www.my45radio.co.uk/,The United Kingdom Of Great Britain And Northern Ireland,english,"60s,70s,80s,90s",MP3,128
4Tune FM,https://c30.radioboss.fm:18274/stream,https://4tunefm.co.uk/,The United Kingdom Of Great Britain And Northern Ireland,,,MP3,128
5 Rivers radio,https://onlineradiobox.com/json/uk/5rivers/play?platform=web,https://onlineradiobox.com/json/uk/5rivers/play?platform=web,The United Kingdom Of Great Britain And Northern Ireland,hindi,music,MP3,320
60 North Radio,https://cdn1.zetcast.net/stream,https://60north.radio/,The United Kingdom Of Great Britain And Northern Ireland,,,MP3,320
60 NORTH RADIO - FLAC,http://r5.zetcast.net/flac,https://60north.radio/,The United Kingdom Of Great Britain And Northern Ireland,,,OGG,1411
60s Swinging Radio,http://s2.xrad.io:8058/listen.pls,https://www.radio60s.co.uk/,The United Kingdom Of Great Britain And Northern Ireland,,"classic hits 60s 70a 80s,israeli pop oldies,sixties",MP3,96
80s 90s,http://radioradio.ddns.net:8000/8090,,The United Kingdom Of Great Britain And Northern Ireland,,pop,AAC+,128
80s Mixtape,https://audio.allabout.radio/listen/80s_mixtape/stream.mp3,https://mixtape.radio/,The United Kingdom Of Great Britain And Northern Ireland,,"80's,pop music",MP3,0
80s Music Station (MP3),http://stream.zeno.fm/1fm38n8f74zuv,http://www.80smusicstation.com/,The United Kingdom Of Great Britain And Northern Ireland,english,"1980's,1980s,80's,80s",MP3,0
