name,stream_url,homepage,country,language,tags,codec,bitrate
 B105 105.3 Brisbane,https://wz4liw.scahw.com.au/live/4bbb_128.stream/playlist.m3u8,https://www.hit.com.au/brisbane,Australia,english,adult contemporary,AAC,130
 Sky News Australia Radio,https://playerservices.streamtheworld.com/api/livestream-redirect/NOVA_SKYNEWSAAC.aac,https://www.skynews.com.au/sky-news-radio,Australia,english,"conservative,discussion,news,politics,rightwing,sky news,talk",AAC+,64
=KECO=70s ROCK ,http://jfm1.hostingradio.ru:14536/rock70.mp3,http://jfm1.hostingradio.ru:14536/rock70.mp3,Australia,engilsh,70s rock,MP3,128
=KECO=ROCK BALLADS,http://online.radioroks.ua/RadioROKS_Ballads_HD,http://online.radioroks.ua/RadioROKS_Ballads_HD,Australia,engilsh,70s rock ballads,MP3,320
101 FM - Logan - 101.1 FM (AAC+),http://playerservices.streamtheworld.com/api/livestream-redirect/4CBLAAC.aac,https://101fm.com.au/,Australia,english,"community radio,miscellaneous,talk",AAC+,128
101 FM - Logan - 101.1 FM (MP3),http://playerservices.streamtheworld.com/api/livestream-redirect/4CBL.mp3,https://101fm.com.au/,Australia,english,"community radio,miscellaneous,talk",MP3,128
101.3 FM Collie Community Radio,http://144.6.133.42:88/broadwave.mp3?src=1&rate=1,http://colliecommunityradio.com.au/,Australia,english,community,MP3,0
101.5 FM - Moreton Bay's Own - Caboolture (AAC),http://stream.lava.net.au/au_qld_4our_caboolture1015,https://1015fm.com.au/,Australia,english,community radio,MP3,192
101.9 The Fox Melbourne,https://wz3liw.scahw.com.au/live/3fox_128.stream/playlist.m3u8,https://www.hit.com.au/fox,Australia,english,adult contemporary,AAC,130
102.7 FM Toowoomba,http://s7.voscast.com:10184/4DDBFM,https://1027.com.au/,Australia,english,community radio,AAC+,96
1029 Hot Tomato,http://playerservices.streamtheworld.com/api/livestream-redirect/GOL_HOTTOMATO.mp3,https://www.mygc.com.au/1029-hot-tomato/,Australia,english,,MP3,128
1035FM Orange,https://stream2.cnmns.net/orange1035,https://1035fm.com.au/,Australia,english,"christian,community",MP3,128
104.1 Territory FM - Darwin - 104.1 FM (MP3),https://streaming.territoryfm.com:8443/TerritoryFM,https://territoryfm.com/,Australia,english,"adult contemporary,full service,news,talk",MP3,185
107.1 SAFM Adelaide,https://wz5liw.scahw.com.au/live/5ssa_128.stream/playlist.m3u8,https://www.hit.com.au/adelaide/,Australia,english,"adult contemporary,pop",AAC,130
107.3 HFM Gosnells,http://45.77.235.175:8000/;,https://www.facebook.com/1073HFM,Australia,english,community radio,MP3,120
107.9 LIFE Adelaide,https://stream04.sigile.net/1079life-64-aac,https://mylifefm.com/,Australia,english,"christian,community",MP3,128
1079 life - Good Taste Radio,https://stream01.sigile.net/1079life-64-aac,https://mylifefm.com/,Australia,,,MP3,128
1116 SEN Melbourne,http://13.54.221.214:8000/sen.mp3,http://www.sen.com.au/,Australia,,,MP3,64
1170 SEN Sydney,https://d11fwwlrb0wuhh.cloudfront.net/playlist.m3u8,https://www.sen.com.au/listen-live-sen-sydney/,Australia,english,sport,AAC,65
2 Triple B - Bellingen - 107.3 FM (AAC+),http://playerservices.streamtheworld.com/api/livestream-redirect/2BBBAAC.aac,https://www.2bbb.net.au/,Australia,english,"community radio,miscellaneous,talk",AAC+,128
2 Triple B - Bellingen - 107.3 FM (MP3),http://playerservices.streamtheworld.com/api/livestream-redirect/2BBB.mp3,https://www.2bbb.net.au/,Australia,english,"community radio,miscellaneous,talk",MP3,128
2AC澳洲华人电台粤语广播,http://s1.voscast.com:10442/stream,https://www.2ac.com.au/,Australia,cantonese,full service,MP3,48
2AIR FM - Coffs Harbour - 107.9 FM (MP3),http://s10.myradiostream.com:10122/;,https://www.2airfm.com.au/,Australia,english,"community radio,music",MP3,64
2ARM - Armidale - 92.1 FM (AAC),http://playerservices.streamtheworld.com/api/livestream-redirect/SAM02AAC109_SC,https://2arm.net.au/,Australia,english,community radio,AAC+,64
2AY - Albury - 1494 AM,http://worldradio.online/proxy/?q=https://wz2liw.scahw.com.au/live/2ay_128.stream/playlist.m3u8,https://2ay.com.au/,Australia,english,"classic hits,commercial,news,talk",UNKNOWN,0
2AY - Albury - 1494 AM,https://wz2liw.scahw.com.au/live/2ay_128.stream/playlist.m3u8,https://2ay.com.au/,Australia,english,"classic hits,news,talk",AAC,130
2AY - Albury - 1494 AM (HTTP),http://wz2liw.scahw.com.au/live/2ay_128.stream/playlist.m3u8,https://2ay.com.au/,Australia,english,"classic hits,news,talk",AAC,130
2BBB Bellingen,https://playerservices.streamtheworld.com/api/livestream-redirect/2BBBAAC.aac,https://www.2bbb.net.au/,Australia,,,AAC+,128
2BOB Radio - Taree - 104.7 FM (AAC),http://playerservices.streamtheworld.com/api/livestream-redirect/2BOBAAC.aac,http://www.2bobradio.org.au/,Australia,english,"alternative,community radio,miscellaneous,music",AAC+,128
2BOB Radio - Taree - 104.7 FM (MP3),http://playerservices.streamtheworld.com/api/livestream-redirect/2BOB.mp3,http://www.2bobradio.org.au/,Australia,english,"alternative,community radio,miscellaneous,music",MP3,128
2BOB Radio 104.7FM,https://playerservices.streamtheworld.com/api/livestream-redirect/2BOB.mp3,http://www.2bobradio.org.au/,Australia,,,MP3,128
2BRW Braidwood FM,https://audio-edge-5bkfj.fra.h.radiomast.io/ba864be6-11d1-4e13-aa74-f8e8781f64f6,https://braidwoodradio.com.au/,Australia,english,"braidwood,classic rock,communiy,variety",AAC,144
