name,stream_url,homepage,country,language,tags,codec,bitrate
	RTL France,http://streaming.radio.rtl.fr/rtl-1-44-128,https://www.rtl.fr/,France,"french,frenchhttps://rfiswahili96k.ice.infomaniak.ch/rfis",,MP3,128
 Galaxie FM 95.30 ,https://listen.radioking.com/radio/15684/stream/29075,https://www.galaxieradio.fr/,France,,,MP3,128
 MARSANARYAS,https://www.marsanaryas.com/radio/live/,https://www.marsanaryas.com/,France,french,"independent,talk",MP3,0
.. atlantica oldies..,http://radios.topymedia.com:8052/stream/;.mp3,http://www.atlantica-radio.fr/,France,,decades,MP3,128
.. Atlantica Radio.. ,http://radios.topymedia.com:8000/stream/;.mp3,http://www.atlantica-radio.fr/,France,,pop,MP3,128
.. Atlantica Soleil.. ,http://radios.topymedia.com:8054/stream/;.mp3,http://www.atlantica-radio.fr/,France,,misc,MP3,128
.. مختصر التفسير ,https://qurango.net/radio/mukhtasartafsir,,France,,classical,MP3,128
"..87,5!. Nantes",https://listen.radioking.com/radio/15130/stream/28217,https://875naoned.wixsite.com/radio,France,,"alternative,alternative rock,classic rock,electro,electronic,electronica,house,pop,pop rock,rock,world music",MP3,128
..al quran radio ,https://n0a.radiojar.com/0tpy1h0kxtzuv?rj-ttl=5&rj-tok=AAABhdgGORQA-2acfyF3_4WY2g,,France,,classical,MP3,0
.mohammed ayyub,https://qurango.net/radio/mohammed_ayyub,,France,,classical,MP3,128
@Magic Radio,http://mp3.magic-radio.net/320,https://magic-radio.net/,France,,pop,MP3,320
* Meme dans les orties *,https://radio.sk8ter.org:8443/stream,http://memeradio.org/,France,french,electronic,MP3,192
#1 Splash Jazz,https://ais-sa2.cdnstream1.com/2346_128.mp3,https://www.splashradio.eu/,France,"english,french","big band,classic jazz,cool jazz,free jazz,jazz,jazz fusion,latin jazz,nu-jazz,smooth jazz,splash,vocal jazz",MP3,128
★ Radio Dijon Campus,http://frequence.u-bourgogne.fr:8082/dijoncampus,https://radiodijoncampus.com/,France,,"campus radio,college radio",MP3,0
100% POP - NEW WAVE,https://streaming.brol.tech/jamendolounge?https://streaming.brol.tech/jamendoloungehttps://streaming.brol.tech/jamendoloungehttps://streaming.brol.tech/jamendoloungehttps://streaming.brol.tech/jamendoloungehttps://streaming.brol.tech/jamendoloungehttps://streaming.brol.tech/jamendoloungehttps://streaming.brol.tech/jamendoloungehttps://streaming.brol.tech/jamendoloungehttps://streaming.brol.tech/jamendoloungehttps://streaming.brol.tech/jamendoloungehttps://streaming.brol.tech/jamendoloungehttps://streaming.brol.tech/jamendoloungehttps://streaming.brol.tech/jamendoloungehttps://streaming.brol.tech/jamendoloungehttps://streaming.brol.tech/jamendoloungehttps://streaming.brol.tech/jamendoloungehttps://streaming.brol.tech/jamendoloungehttps://streaming.brol.tech/jamendoloungehttps://streaming.brol.tech/jamendoloungehttps://streaming.brol.tech/jamendoloungehttps://streaming.brol.tech/jamendoloungehttps://streaming.brol.tech/jamendoloungehttps://streaming.brol.tech/jamendoloungehttps://streaming.brol.tech/jamendoloungehttps://streaming.brol.tech/jamendoloungehttps://streaming.brol.tech/jamendoloungehttps://streaming.brol.tech/jamendoloungehttps://streaming.brol.tech/jamendoloungehttps://streaming.brol.tech/jamendoloungehttps://streaming.brol.tech/jamendoloungehttps://streaming.brol.tech/jamendoloungehttps://streaming.brol.tech/jamendoloungehttps://streaming.brol.tech/jamendoloungehttps://streaming.brol.tech/jamendoloungehttps://streaming.brol.tech/jamendoloungehttps://streaming.brol.tech/jamendoloungehttps://streaming.brol.tech/jamendoloungehttps://streaming.brol.tech/jamendoloungehttps://streaming.brol.tech/jamendoloungehttps://streaming.brol.tech/jamendoloungehttps://streaming.brol.tech/jamendoloungehttps://streaming.brol.tech/jamendoloungehttps://streaming.brol.tech/jamendoloungehttps://streaming.brol.tech/jamendoloungehttps://streaming.brol.tech/jamendoloungehttps://streaming.brol.tech/jamendoloungehttps://streaming.brol.tech/jamendoloungehttps://streaming.brol.tech/jamendoloungehttps://streaming.brol.tech/jamendoloungehttps://streaming.brol.tech/jamendoloungehttps://streaming.brol.tech/jamendoloungehttps://streaming.brol.tech/jamendoloungehttps://streaming.brol.tech/jamendoloungehttps://streaming.brol.tech/jamendoloungehttps://streaming.brol.tech/jamendoloungehttps://streaming.brol.tech/jamendoloungehttps://streaming.brol.tech/jamendoloungehttps://streaming.brol.tech/jamendoloungehttps://streaming.brol.tech/jamendoloungehttps://streaming.brol.tech/jamendoloungehttps://streaming.brol.tech/jamendoloungehttps://streaming.brol.tech/jamendoloungehttps://streaming.brol.tech/jamendoloungehttps://streaming.brol.tech/jamendoloungehttps://streaming.brol.tech/jamendoloungehttps://streaming.brol.tech/jamendoloungehttps://streaming.brol.tech/jamendoloungehttps://streaming.brol.tech/jamendoloungehttps://streaming.brol.tech/jamendoloungehttps://streaming.brol.tech/jamendoloungehttps://streaming.brol.tech/jamendoloungehttps://streaming.brol.tech/jamendoloungehttps://streaming.brol.tech/jamendoloungehttps://streaming.brol.tech/jamendoloungehttps://streaming.brol.tech/jamendoloungehttps://streaming.brol.tech/jamendoloungehttps://streaming.brol.tech/jamendoloungehttps://streaming.brol.tech/jamendoloungehttps://streaming.brol.tech/jamendoloungehttps://streaming.brol.tech/jamendoloungehttps://streaming.brol.tech/jamendoloungehttps://streaming.brol.tech/jamendoloungehttps://streaming.brol.tech/jamendoloungehttps://streaming.brol.tech/jamendoloungehttps://streaming.brol.tech/jamendoloungehttps://streaming.brol.tech/jamendoloungehttps://streaming.brol.tech/jamendoloungehttps://streaming.brol.tech/jamendolounge,https://www.youtube.com/watch?v=Fkk9DI-8el4,France,messapic,русским гражданам .... в украине сейчас идет война ... силами рф наносятся удары по гражданской инфраструктуре в харькове ... киеве ... чернигове ... сумах ... ирпене и десятках других городов ... гибнут люди - и гражданское население ... и военные ... в том числе российские призывники ... которых бросили воевать ... чтобы лишить собственный народ доступа к информации ... правительство рф запретило называть войну войной ... закрыло независимые сми и принимает сейчас ряд диктаторских законов ... эти законы призваны заткнуть рот всем ... кто против войны ... за обычный призыв к миру сейчас можно получить несколько лет тюрьмы ... не молчите! молчание - знак вашего согласия с политикой российского правительства ... вы можете сделать выбор не молчать,MP3,128
100% POP - NEW WAVE,https://streaming.brol.tech/jamendolounge,https://rb.gy/jbj7y1,France,aka bo,fuck you putin,MP3,128
100% Radio,http://100radio-albi.ice.infomaniak.ch/100radio-albi-128.mp3,http://www.centpourcent.com/,France,,,MP3,128
100% Radio - Carcassonne,http://100radio-carcassonne.ice.infomaniak.ch/100radio-carcassonne-128.mp3,https://www.centpourcent.com/,France,,,MP3,128
100% Radio 80,http://100radio-80.ice.infomaniak.ch/100radio-80-128.mp3,http://www.centpourcent.com/,France,french,80s,MP3,128
100% Radio Auch,http://100radio-auch.ice.infomaniak.ch/100radio-auch-128.mp3,http://www.centpourcent.com/,France,french,,MP3,128
100% Radio Carcassonne,https://100radio-carcassonne.ice.infomaniak.ch/100radio-carcassonne-128.mp3,https://www.centpourcent.com/,France,french,"hot adult contemporary,pop",MP3,128
100% Radio Castres,http://100radio-castres.ice.infomaniak.ch/100radio-castres-128.mp3,http://www.centpourcent.com/,France,french,,MP3,128
